station_code,origin_year,count,sb_mile
BOS,2011,5977,0
BOS,2012,6220,0
BOS,2013,6162,0
BOS,2014,6231,0
BOS,2015,6222,0
BOS,2016,6292,0
BOS,2017,6285,0
BOS,2018,6139,0
BOS,2019,6279,0
BOS,2020,4554,0
BOS,2021,2331,0
BBY,2011,2832,1
BBY,2012,2233,1
BBY,2013,3119,1
BBY,2014,5088,1
BBY,2015,5138,1
BBY,2016,5527,1
BBY,2017,5793,1
BBY,2018,5952,1
BBY,2019,6256,1
BBY,2020,4527,1
BBY,2021,2334,1
RTE,2011,5469,11
RTE,2012,5557,11
RTE,2013,5557,11
RTE,2014,5721,11
RTE,2015,5888,11
RTE,2016,6167,11
RTE,2017,6140,11
RTE,2018,6102,11
RTE,2019,6291,11
RTE,2020,4550,11
RTE,2021,2329,11
PVD,2011,4988,43
PVD,2012,5375,43
PVD,2013,5315,43
PVD,2014,5314,43
PVD,2015,5744,43
PVD,2016,6142,43
PVD,2017,6121,43
PVD,2018,6115,43
PVD,2019,6264,43
PVD,2020,4551,43
PVD,2021,2330,43
KIN,2011,5525,70
KIN,2012,5704,70
KIN,2013,5606,70
KIN,2014,5764,70
KIN,2015,5899,70
KIN,2016,6173,70
KIN,2017,6092,70
KIN,2018,6108,70
KIN,2019,6287,70
KIN,2020,4557,70
KIN,2021,2330,70
WLY,2011,1193,87
WLY,2012,1025,87
WLY,2013,1754,87
WLY,2014,3254,87
WLY,2015,3376,87
WLY,2016,3537,87
WLY,2017,3491,87
WLY,2018,3500,87
WLY,2019,3613,87
WLY,2020,2699,87
WLY,2021,1436,87
MYS,2011,3,96
MYS,2012,4,96
MYS,2013,662,96
MYS,2014,1918,96
MYS,2015,1913,96
MYS,2016,2681,96
MYS,2017,2696,96
MYS,2018,2682,96
MYS,2019,2770,96
MYS,2020,2275,96
MYS,2021,1084,96
NLC,2011,4941,105
NLC,2012,5265,105
NLC,2013,5347,105
NLC,2014,5796,105
NLC,2015,5887,105
NLC,2016,6189,105
NLC,2017,6153,105
NLC,2018,6126,105
NLC,2019,6293,105
NLC,2020,4554,105
NLC,2021,2325,105
OSB,2011,4240,123
OSB,2012,3984,123
OSB,2013,3963,123
OSB,2014,4781,123
OSB,2015,4855,123
OSB,2016,4929,123
OSB,2017,4916,123
OSB,2018,4873,123
OSB,2019,4954,123
OSB,2020,3517,123
OSB,2021,1896,123
NHV,2011,11503,156
NHV,2012,12054,156
NHV,2013,11935,156
NHV,2014,12032,156
NHV,2015,12236,156
NHV,2016,12563,156
NHV,2017,12558,156
NHV,2018,12377,156
NHV,2019,12577,156
NHV,2020,9106,156
NHV,2021,4687,156
BRP,2011,2624,173
BRP,2012,2020,173
BRP,2013,2169,173
BRP,2014,3535,173
BRP,2015,3755,173
BRP,2016,3953,173
BRP,2017,3957,173
BRP,2018,3916,173
BRP,2019,4016,173
BRP,2020,2955,173
BRP,2021,2115,173
STM,2011,4597,195
STM,2012,3447,195
STM,2013,3724,195
STM,2014,5788,195
STM,2015,5880,195
STM,2016,6174,195
STM,2017,6159,195
STM,2018,6115,195
STM,2019,6237,195
STM,2020,4551,195
STM,2021,2326,195
NRO,2011,2653,212
NRO,2012,2072,212
NRO,2013,2180,212
NRO,2014,3477,212
NRO,2015,3534,212
NRO,2016,3728,212
NRO,2017,3737,212
NRO,2018,3675,212
NRO,2019,3814,212
NRO,2020,2761,212
NRO,2021,2005,212
NYP,2011,11819,231
NYP,2012,12379,231
NYP,2013,12357,231
NYP,2014,12375,231
NYP,2015,12325,231
NYP,2016,12490,231
NYP,2017,12544,231
NYP,2018,12399,231
NYP,2019,12547,231
NYP,2020,8854,231
NYP,2021,4463,231
NWK,2011,5883,241
NWK,2012,6181,241
NWK,2013,6187,241
NWK,2014,6193,241
NWK,2015,6137,241
NWK,2016,6212,241
NWK,2017,6227,241
NWK,2018,5803,241
NWK,2019,6274,241
NWK,2020,4299,241
NWK,2021,2117,241
EWR,2011,1,244
EWR,2012,2,244
EWR,2013,849,244
EWR,2014,2601,244
EWR,2015,3132,244
EWR,2016,3399,244
EWR,2017,3391,244
EWR,2018,3627,244
EWR,2019,3719,244
EWR,2020,2780,244
EWR,2021,1284,244
MET,2011,4256,255
MET,2012,4514,255
MET,2013,4517,255
MET,2014,4589,255
MET,2015,4559,255
MET,2016,4903,255
MET,2017,4934,255
MET,2018,4913,255
MET,2019,5189,255
MET,2020,3643,255
MET,2021,1820,255
TRE,2011,5544,289
TRE,2012,5867,289
TRE,2013,5782,289
TRE,2014,5739,289
TRE,2015,5743,289
TRE,2016,5844,289
TRE,2017,5841,289
TRE,2018,5605,289
TRE,2019,6017,289
TRE,2020,4061,289
TRE,2021,2015,289
PHL,2011,6039,322
PHL,2012,5914,322
PHL,2013,6446,322
PHL,2014,6392,322
PHL,2015,9656,322
PHL,2016,12422,322
PHL,2017,12491,322
PHL,2018,12339,322
PHL,2019,12486,322
PHL,2020,8546,322
PHL,2021,4276,322
WIL,2011,5890,347
WIL,2012,5657,347
WIL,2013,6194,347
WIL,2014,6211,347
WIL,2015,6214,347
WIL,2016,6258,347
WIL,2017,6290,347
WIL,2018,6208,347
WIL,2019,6229,347
WIL,2020,4301,347
WIL,2021,2123,347
ABE,2011,862,386
ABE,2012,369,386
ABE,2013,232,386
ABE,2014,939,386
ABE,2015,1016,386
ABE,2016,1052,386
ABE,2017,1054,386
ABE,2018,1170,386
ABE,2019,1143,386
ABE,2020,707,386
ABE,2021,262,386
BAL,2011,5868,416
BAL,2012,5544,416
BAL,2013,6091,416
BAL,2014,6081,416
BAL,2015,5827,416
BAL,2016,6157,416
BAL,2017,6253,416
BAL,2018,6217,416
BAL,2019,6273,416
BAL,2020,4297,416
BAL,2021,2119,416
BWI,2011,4981,427
BWI,2012,4337,427
BWI,2013,5809,427
BWI,2014,5838,427
BWI,2015,5852,427
BWI,2016,6244,427
BWI,2017,6257,427
BWI,2018,6216,427
BWI,2019,6288,427
BWI,2020,4299,427
BWI,2021,2119,427
NCR,2011,5151,448
NCR,2012,4542,448
NCR,2013,5631,448
NCR,2014,5641,448
NCR,2015,5679,448
NCR,2016,5792,448
NCR,2017,5812,448
NCR,2018,5761,448
NCR,2019,5711,448
NCR,2020,3944,448
NCR,2021,1992,448
WAS,2011,5963,457
WAS,2012,6193,457
WAS,2013,6226,457
WAS,2014,6218,457
WAS,2015,6220,457
WAS,2016,6251,457
WAS,2017,6282,457
WAS,2018,6200,457
WAS,2019,6290,457
WAS,2020,4293,457
WAS,2021,2124,457
